Authors,,OR,LCI,UCI,lnor,ln(LCL),ln(UCL),SE(lnor),var
Fernández Pérez et al.,,1.76,1.01,3.07,0.565313809,0.009950331,1.121677562,0.283603885,0.080431164
Tsutsui et al.,,3.284,0.712,15.144,1.189062192,-0.339677368,2.717604414,0.779918822,0.608273369
