Authors,,HR,LCI,UCI,lnor,ln(LCL),ln(UCL),SE(lnor),var
Choe et al.,,1.1,1.01,1.19,0.09531018,0.009950331,0.173953307,0.041837494,0.001750376
Chung et al.,,8.34,1.98,35.21,2.121063216,0.683096845,3.561330133,0.734243186,0.539113056
Nukui et al.,,4.621,1.642,13.005,1.530611132,0.495915011,2.565333899,0.527912982,0.278692116
Walsh et al.,,1.11,1.05,1.17,0.104360015,0.048790164,0.157003749,0.027605506,0.000762064
