Authors,,OR,LCI,UCI,lnor,ln(LCL),ln(UCL),SE(lnor),var
Chung et al.,,1.02,0.95,1.07,0.019802627,-0.051293294,0.067658648,0.030344883,0.000920812
Choe et al.,,1,0.97,1.02,0,-0.030459207,0.019802627,0.012821897,0.000164401
Ojanguren et al.,,1.038,1.012,1.064,0.037295785,0.011928571,0.062035391,0.012782352,0.000163389
Tsutsui et al.,,1.034,0.934,1.144,0.033434776,-0.068278841,0.134530893,0.051737177,0.002676735
Fernández Pérez et al.,,1.04,1.01,1.07,0.039220713,0.009950331,0.067658648,0.01472151,0.000216723
