Authors,,HR,LCI,UCI,lnor,ln(LCL),ln(UCL),SE(lnor),var
Chung et al.,,1.51,0.74,3.07,0.412109651,-0.301105093,1.121677562,0.362954759,0.131736157
Ojanguren et al.,,1.745,1.06,2.873,0.556754556,0.058268908,1.05535678,0.254359151,0.064698578
Walsh et al.,,1.09,1.01,1.17,0.086177696,0.009950331,0.157003749,0.037513627,0.001407272
,,,,,,,,,
