Authors,,HR,LCI,UCI,lnor,ln(LCL),ln(UCL),SE(lnor),var
Chung et al.,,5.88,1.39,24.9,1.771556762,0.329303747,3.214867803,0.73611328,0.541862761
Nukui et al.,,4.095,1.53,10.959,1.409766717,0.425267735,2.394161036,0.502268699,0.252273846
Walsh et al.,,1.1,1.04,1.16,0.09531018,0.039220713,0.148420005,0.027856962,0.00077601
