Authors,,HR,LCI,UCI,lnor,ln(LCL),ln(UCL),SE(lnor),var
Choe et al.,,1.56,0.95,2.55,0.444685821,-0.051293294,0.936093359,0.25188435,0.063445726
Tsutsui et al.,,1.837,0.277,12.186,0.608133806,-1.283737773,2.500287752,0.965312634,0.931828481
,,,,,,,,,
