Authors,,OR,LCI,UCI,lnor,ln(LCL),ln(UCL),SE(lnor),var
Adegunsoye et al.,,2.9,1.58,5.3,1.064710737,0.457424847,1.667706821,0.308745401,0.095323723
Choe et al.,,1.03,0.91,1.16,0.029558802,-0.094310679,0.148420005,0.061921093,0.003834222
Chung et al.,,2.47,1.25,4.87,0.904218151,0.223143551,1.583093937,0.346926119,0.120357732
Jacob et al.,,1.19,1.07,1.31,0.173953307,0.067658648,0.270027137,0.051624614,0.002665101
Walsh et al.,,1.08,1,1.15,0.076961041,0,0.139761942,0.035653557,0.001271176
